Variable Position	Variable Name	Code	Label
26	occ10	9998	Dont know
26	occ10	9997	Uncodeable
26	occ10	9830	Military  rank not specified
26	occ10	9820	Military enlisted tactical operations and air weapons specialists and crew members
26	occ10	9810	Firsttoline enlisted military supervisors
26	occ10	9800	Military officer special and tactical operations leaders
26	occ10	9750	Material moving workers  all other
26	occ10	9740	Tank car  truck  and ship loaders
26	occ10	9730	Mine shuttle car operators
26	occ10	9720	Refuse and recyclable material collectors
26	occ10	9650	Pumping station operators
26	occ10	9640	Packers and packagers  hand
26	occ10	9630	Machine feeders and offbearers
26	occ10	9620	Laborers and freight  stock  and material movers  hand
26	occ10	9610	Cleaners of vehicles and equipment
26	occ10	9600	Industrial truck and tractor operators
26	occ10	9560	Hoist and winch operators
26	occ10	9520	Dredge  excavating  and loading machine operators
26	occ10	9510	Crane and tower operators
26	occ10	9500	Conveyor operators and tenders
26	occ10	9420	Other transportation workers
26	occ10	9415	Transportation attendants  except flight attendants
26	occ10	9410	Transportation inspectors
26	occ10	9360	Automotive and watercraft service attendants
26	occ10	9350	Parking lot attendants
26	occ10	9340	Bridge and lock tenders
26	occ10	9330	Ship engineers
26	occ10	9310	Ship and boat captains and operators
26	occ10	9300	Sailors and marine oilers
26	occ10	9260	Subway  streetcar  and other rail transportation workers
26	occ10	9240	Railroad conductors and yardmasters
26	occ10	9230	Railroad brake  signal  and switch operators
26	occ10	9200	Locomotive engineers and operators
26	occ10	9150	Motor vehicle operators  all other
26	occ10	9140	Taxi drivers and chauffeurs
26	occ10	9130	Driver sales workers and truck drivers
26	occ10	9120	Bus drivers
26	occ10	9110	Ambulance drivers and attendants  except emergency medical  technicians
26	occ10	9050	Flight attendants
26	occ10	9040	Air traffic controllers and airfield operations specialists
26	occ10	9030	Aircraft pilots and flight engineers
26	occ10	9000	Supervisors of transportation and material moving workers
26	occ10	8965	Production workers  all other
26	occ10	8950	Helpers and production workers
26	occ10	8940	Tire builders
26	occ10	8930	Paper goods machine setters  operators  and tenders
26	occ10	8920	Molders  shapers  and casters  except metal and plastic
26	occ10	8910	Etchers and engravers
26	occ10	8900	Cooling and freezing equipment operators and tenders
26	occ10	8860	Cleaning  washing  and metal pickling equipment operators and tenders
26	occ10	8850	Adhesive bonding machine operators and tenders
26	occ10	8840	Semiconductor processors
26	occ10	8830	Photographic process workers and processing machine operators
26	occ10	8810	Painting workers
